ts,scan_id,timeframe,level_type,level,touches,price,distance_atr,relation,event,atr,source_ts
2026-09-22T13:48:39.409440+00:00,20260922T134831.221488Z,5m,RESISTANCE,86235.48,2,86013.3,1.1202,BELOW,NONE,198.33571429,1790082300
2026-09-22T13:48:39.409468+00:00,20260922T134831.221488Z,5m,SUPPORT,85771.39166667,6,86013.3,1.2197,ABOVE,NONE,198.33571429,1790079300
2026-09-22T13:48:39.409495+00:00,20260922T134831.221488Z,5m,SUPPORT,85649.86,1,86013.3,1.8324,ABOVE,NONE,198.33571429,1790067900
2026-09-22T13:48:39.409534+00:00,20260922T134831.221488Z,5m,RESISTANCE,86384.73,1,86013.3,1.8727,BELOW,NONE,198.33571429,1790067000
2026-09-22T13:48:39.409571+00:00,20260922T134831.221488Z,5m,SUPPORT,85560.12,1,86013.3,2.2849,ABOVE,NONE,198.33571429,1790083800
2026-09-22T13:59:30.019204+00:00,20260922T135929.166577Z,1h,RESISTANCE,86369.835,2,86322.85,0.0855,BELOW,RETEST,549.55857143,1790064000
2026-09-22T13:59:30.019255+00:00,20260922T135929.166577Z,1h,RESISTANCE,85257.0,1,86322.85,1.9395,ABOVE,NONE,549.55857143,1789981200
2026-09-22T13:59:30.019291+00:00,20260922T135929.166577Z,1h,RESISTANCE,87397.0,1,86322.85,1.9546,BELOW,NONE,549.55857143,1790020800
2026-09-22T13:59:30.019353+00:00,20260922T135929.166577Z,1h,SUPPORT,85059.28,1,86322.85,2.2992,ABOVE,NONE,549.55857143,1790053200
2026-09-22T13:59:30.019389+00:00,20260922T135929.166577Z,1h,RESISTANCE,82006.055,2,86322.85,7.855,ABOVE,NONE,549.55857143,1789952400
2026-09-22T13:59:30.019422+00:00,20260922T135929.166577Z,1h,RESISTANCE,81437.55,3,86322.85,8.8895,ABOVE,NONE,549.55857143,1789920000
2026-09-22T13:59:30.019454+00:00,20260922T135929.166577Z,1h,SUPPORT,81145.88,1,86322.85,9.4202,ABOVE,NONE,549.55857143,1789822800
2026-09-22T13:59:30.019494+00:00,20260922T135929.166577Z,1h,SUPPORT,80850.21,3,86322.85,9.9582,ABOVE,NONE,549.55857143,1789952400
2026-09-22T13:59:30.065026+00:00,20260922T135929.166577Z,15m,SUPPORT,86266.36,1,86322.85,0.2049,ABOVE,RECLAIM,275.65857143,1790030700
2026-09-22T13:59:30.065074+00:00,20260922T135929.166577Z,15m,RESISTANCE,86384.73,1,86322.85,0.2245,BELOW,RETEST,275.65857143,1790066700
2026-09-22T13:59:30.065108+00:00,20260922T135929.166577Z,15m,RESISTANCE,86235.48,2,86322.85,0.317,ABOVE,RETEST,275.65857143,1790082000
2026-09-22T13:59:30.065141+00:00,20260922T135929.166577Z,15m,SUPPORT,86528.34,1,86322.85,0.7455,BELOW,NONE,275.65857143,1790025300
2026-09-22T13:59:30.065173+00:00,20260922T135929.166577Z,15m,RESISTANCE,86108.47,2,86322.85,0.7777,ABOVE,NONE,275.65857143,1790076600
2026-09-22T13:59:30.065218+00:00,20260922T135929.166577Z,15m,RESISTANCE,86686.97,1,86322.85,1.3209,BELOW,NONE,275.65857143,1790032500
2026-09-22T13:59:30.065249+00:00,20260922T135929.166577Z,15m,RESISTANCE,85858.49,1,86322.85,1.6845,ABOVE,NONE,275.65857143,1790045100
2026-09-22T13:59:30.065280+00:00,20260922T135929.166577Z,15m,SUPPORT,85764.42,3,86322.85,2.0258,ABOVE,RETEST,275.65857143,1790079300
2026-09-22T13:59:30.110305+00:00,20260922T135929.166577Z,5m,RESISTANCE,86384.73,1,86322.85,0.2779,BELOW,RETEST,222.68142857,1790067000
2026-09-22T13:59:30.110373+00:00,20260922T135929.166577Z,5m,RESISTANCE,86259.99,1,86322.85,0.2823,ABOVE,RETEST,222.68142857,1790070900
2026-09-22T13:59:30.110407+00:00,20260922T135929.166577Z,5m,RESISTANCE,86151.036,5,86322.85,0.7716,ABOVE,NONE,222.68142857,1790084100
2026-09-22T13:59:30.110439+00:00,20260922T135929.166577Z,5m,RESISTANCE,85976.6,1,86322.85,1.5549,ABOVE,NONE,222.68142857,1790074800
2026-09-22T13:59:30.110470+00:00,20260922T135929.166577Z,5m,SUPPORT,85869.07,3,86322.85,2.0378,ABOVE,NONE,222.68142857,1790081400
2026-09-22T13:59:30.110501+00:00,20260922T135929.166577Z,5m,SUPPORT,85741.49666667,6,86322.85,2.6107,ABOVE,NONE,222.68142857,1790079300
2026-09-22T13:59:30.110531+00:00,20260922T135929.166577Z,5m,SUPPORT,85560.12,1,86322.85,3.4252,ABOVE,NONE,222.68142857,1790083800
2026-09-22T13:59:30.110567+00:00,20260922T135929.166577Z,5m,SUPPORT,85307.72,1,86322.85,4.5587,ABOVE,NONE,222.68142857,1790065800
2026-09-22T14:18:05.827653+00:00,20260922T141805.119747Z,1h,RESISTANCE,86369.835,2,86190.0,0.344,BELOW,RETEST,522.70214286,1790064000
2026-09-22T14:18:05.827702+00:00,20260922T141805.119747Z,1h,RESISTANCE,85257.0,1,86190.0,1.785,ABOVE,NONE,522.70214286,1789981200
2026-09-22T14:18:05.827735+00:00,20260922T141805.119747Z,1h,SUPPORT,85059.28,1,86190.0,2.1632,ABOVE,NONE,522.70214286,1790053200
2026-09-22T14:18:05.827765+00:00,20260922T141805.119747Z,1h,RESISTANCE,87397.0,1,86190.0,2.3092,BELOW,NONE,522.70214286,1790020800
2026-09-22T14:18:05.827795+00:00,20260922T141805.119747Z,1h,RESISTANCE,82006.055,2,86190.0,8.0045,ABOVE,NONE,522.70214286,1789952400
2026-09-22T14:18:05.827824+00:00,20260922T141805.119747Z,1h,RESISTANCE,81437.55,3,86190.0,9.0921,ABOVE,NONE,522.70214286,1789920000
2026-09-22T14:18:05.827852+00:00,20260922T141805.119747Z,1h,SUPPORT,81145.88,1,86190.0,9.6501,ABOVE,NONE,522.70214286,1789822800
2026-09-22T14:18:05.827888+00:00,20260922T141805.119747Z,1h,SUPPORT,80853.51,2,86190.0,10.2094,ABOVE,NONE,522.70214286,1789952400
2026-09-22T14:18:05.862956+00:00,20260922T141805.119747Z,15m,RESISTANCE,86199.22,3,86190.0,0.0317,BELOW,RETEST,290.64214286,1790082000
2026-09-22T14:18:05.863022+00:00,20260922T141805.119747Z,15m,SUPPORT,86266.36,1,86190.0,0.2627,BELOW,RETEST,290.64214286,1790030700
2026-09-22T14:18:05.863102+00:00,20260922T141805.119747Z,15m,RESISTANCE,86384.73,1,86190.0,0.67,BELOW,RETEST,290.64214286,1790066700
2026-09-22T14:18:05.863152+00:00,20260922T141805.119747Z,15m,RESISTANCE,85858.49,1,86190.0,1.1406,ABOVE,NONE,290.64214286,1790045100
2026-09-22T14:18:05.863209+00:00,20260922T141805.119747Z,15m,SUPPORT,86528.34,1,86190.0,1.1641,BELOW,NONE,290.64214286,1790025300
2026-09-22T14:18:05.863258+00:00,20260922T141805.119747Z,15m,SUPPORT,85764.42,3,86190.0,1.4643,ABOVE,NONE,290.64214286,1790079300
2026-09-22T14:18:05.863303+00:00,20260922T141805.119747Z,15m,RESISTANCE,85721.91,1,86190.0,1.6105,ABOVE,NONE,290.64214286,1790049600
2026-09-22T14:18:05.863346+00:00,20260922T141805.119747Z,15m,RESISTANCE,86686.97,1,86190.0,1.7099,BELOW,NONE,290.64214286,1790032500
2026-09-22T14:18:05.897801+00:00,20260922T141805.119747Z,5m,RESISTANCE,86151.036,5,86190.0,0.153,ABOVE,RETEST,254.74285714,1790084100
2026-09-22T14:18:05.897847+00:00,20260922T141805.119747Z,5m,RESISTANCE,86259.99,1,86190.0,0.2747,BELOW,RECLAIM,254.74285714,1790070900
2026-09-22T14:18:05.897878+00:00,20260922T141805.119747Z,5m,SUPPORT,86076.47,1,86190.0,0.4457,ABOVE,RETEST,254.74285714,1790085900
2026-09-22T14:18:05.897908+00:00,20260922T141805.119747Z,5m,RESISTANCE,86371.515,2,86190.0,0.7125,BELOW,RETEST,254.74285714,1790085300
2026-09-22T14:18:05.897936+00:00,20260922T141805.119747Z,5m,RESISTANCE,85976.6,1,86190.0,0.8377,ABOVE,NONE,254.74285714,1790074800
2026-09-22T14:18:05.897964+00:00,20260922T141805.119747Z,5m,SUPPORT,85888.99,2,86190.0,1.1816,ABOVE,NONE,254.74285714,1790081400
2026-09-22T14:18:05.897996+00:00,20260922T141805.119747Z,5m,SUPPORT,85754.03,7,86190.0,1.7114,ABOVE,NONE,254.74285714,1790079300
2026-09-22T14:18:05.898023+00:00,20260922T141805.119747Z,5m,SUPPORT,85560.12,1,86190.0,2.4726,ABOVE,NONE,254.74285714,1790083800
2026-09-22T14:34:44.132151+00:00,20260922T143441.701979Z,1h,RESISTANCE,85257.0,1,85777.09,0.9456,ABOVE,NONE,550.00142857,1789981200
2026-09-22T14:34:44.132201+00:00,20260922T143441.701979Z,1h,RESISTANCE,86369.835,2,85777.09,1.0777,BELOW,RETEST,550.00142857,1790064000
2026-09-22T14:34:44.132233+00:00,20260922T143441.701979Z,1h,SUPPORT,85059.28,1,85777.09,1.3051,ABOVE,NONE,550.00142857,1790053200
2026-09-22T14:34:44.132262+00:00,20260922T143441.701979Z,1h,RESISTANCE,87397.0,1,85777.09,2.9453,BELOW,NONE,550.00142857,1790020800
2026-09-22T14:34:44.132291+00:00,20260922T143441.701979Z,1h,RESISTANCE,82006.055,2,85777.09,6.8564,ABOVE,NONE,550.00142857,1789952400
2026-09-22T14:34:44.132320+00:00,20260922T143441.701979Z,1h,RESISTANCE,81437.55,3,85777.09,7.8901,ABOVE,NONE,550.00142857,1789920000
2026-09-22T14:34:44.132347+00:00,20260922T143441.701979Z,1h,SUPPORT,81145.88,1,85777.09,8.4204,ABOVE,NONE,550.00142857,1789822800
2026-09-22T14:34:44.132383+00:00,20260922T143441.701979Z,1h,SUPPORT,80853.51,2,85777.09,8.9519,ABOVE,NONE,550.00142857,1789952400
